resp,AGE,CRED,INCOME,MILEAGE,GENDER,MRTGI
0,20,543,20,14.418,1,0
0,18,445,20,0.311,1,1
0,19,423,20,17.876,1,1
0,18,416,20,17.084,0,1
0,18,522,20,16.51,0,1
0,19,467,20,16.239,0,1
1,19,334,20,8.743,1,0
0,20,519,20,13.82,1,NA
0,19,480,20,15.132,1,0
0,19,309,20,19.472,1,1
0,19,416,20,10.702,1,1
0,19,467,20,9.839,1,0
0,18,308,20,12.083,1,1
0,19,368,20,16.381,1,NA
0,18,378,20,19.58,1,0
1,19,459,20,6.861,0,1
1,18,431,20,18.552,1,0
0,19,509,30,9.492,1,1
0,20,512,20,15.122,1,0
0,18,391,20,13.611,1,1
0,18,375,20,14.901,1,1
0,19,336,20,18.53,1,1
0,19,487,20,7.12,1,0
0,18,311,20,8.087,1,0
0,19,385,20,19.81,1,1
0,19,419,20,17.211,0,0
0,19,322,20,4.688,1,0
0,18,481,20,12.3,1,0
0,19,479,20,10.124,0,1
0,19,494,20,14.439,1,NA
0,19,354,20,6.128,1,0
1,18,505,20,1.029,0,1
0,19,521,20,1.927,0,1
0,19,506,20,13.488,1,1
0,19,447,30,19.45,0,0
0,19,522,20,7.156,1,0
0,18,526,20,19.997,0,0
0,19,498,20,12.79,1,0
0,20,332,20,14.023,1,0
0,19,500,20,5.025,0,1
0,20,491,20,27.373,1,0
0,19,446,20,19.379,1,1
0,20,335,20,4.307,1,NA
0,18,451,20,18.462,1,1
1,19,511,20,14.263,0,0
0,20,556,20,12.568,1,0
0,19,577,20,13.673,0,0
0,18,590,20,13.082,0,1
0,20,558,20,16.403,1,1
0,19,560,20,3.439,1,0
0,19,567,20,11.08,0,0
0,19,579,20,17.854,1,0
0,20,587,20,10.054,0,0
0,19,555,20,12.195,1,1
0,18,558,20,18.445,0,0
1,18,558,20,14.763,1,1
1,19,594,20,7.451,0,0
0,19,565,20,4.254,1,1
1,18,569,20,10.571,0,1
0,19,563,20,4.619,1,0
0,19,589,20,14.182,0,0
0,19,562,20,12.279,0,1
0,19,570,20,17.609,0,0
0,20,583,20,10.088,0,1
0,20,561,20,12.817,0,0
0,19,562,20,14.785,1,0
